PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,DOX2 (micromole/kg),DOX2_QC,CPHL (milligram/m3),CPHL_QC,PHPH (none),PHPH_QC,CDOM (ppb),CDOM_QC,DOX2_ADJUSTED (micromole/kg),DOX2_ADJUSTED_QC,DOX2_ADJUSTED_ERROR (micromole/kg),DOX2_ADJUSTED_ERROR_QC,BBP700 (m-1),BBP700_QC,LGHT (micro einstein m-2 s-1),LGHT_QC,DOWN_IRRADIANCE380 (W m-2 nm-1),DOWN_IRRADIANCE380_QC,DOWN_IRRADIANCE412 (W m-2 nm-1),DOWN_IRRADIANCE412_QC,DOWN_IRRADIANCE490 (W m-2 nm-1),DOWN_IRRADIANCE490_QC,CPHL_ADJUSTED (milligram/m3),CPHL_ADJUSTED_QC
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,245.04,1,34.672,1,10.9542,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,247.06,1,34.658,1,10.8673,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,248.98,1,34.657,1,10.8407,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,251.06,1,34.659,1,10.8341,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,253.11,1,34.662,1,10.8416,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,255.01,1,34.665,1,10.8505,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,256.95,1,34.67,1,10.8623,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,259.05,1,34.671,1,10.8305,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,261.04,1,34.666,1,10.7836,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,263.05,1,34.665,1,10.764,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,265.14,1,34.662,1,10.733,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,267.15,1,34.659,1,10.6992,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,269.11,1,34.652,1,10.6537,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,271.1,1,34.652,1,10.6471,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,273.06,1,34.652,1,10.6385,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,275.03,1,34.653,1,10.6301,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,277.1,1,34.653,1,10.6095,1,,,,,,,,,,,,,,,,,,,,,,,,
