//<Encoding>UTF-8</Encoding>
Cruise	QF	Station	QF	Type	QF	yyyy-mm-ddThh:mm:ss.sss	QF	Longitude [degrees_east]	QF	Latitude [degrees_north]	QF	QV:ODV:STATION	Dummy Var	Longitude	Latitude	Time [yr]	Day of Year	Longitude @ Dummy Var=first	Latitude @ Dummy Var=first	Time [yr] @ Dummy Var=first	Day of Year @ Dummy Var=first	Depth [m]  at  Oxygen [ml/l]=0.45 @ Depth [m]  at  Oxygen [ml/l]=0.45=first
WOA13_1.00deg_1955-2012_Annual	1	26476	1	B	1		1	252.50000	1	15.50000	1	1	0	252.5	15.5			252.5	15.5			135.881
WOA13_1.00deg_1955-2012_Annual	1	26477	1	B	1		1	253.50000	1	15.50000	1	1	0	253.5	15.5			253.5	15.5			128.011
WOA13_1.00deg_1955-2012_Annual	1	26478	1	B	1		1	254.50000	1	15.50000	1	1	0	254.5	15.5			254.5	15.5			124.493
WOA13_1.00deg_1955-2012_Annual	1	26479	1	B	1		1	255.50000	1	15.50000	1	1	0	255.5	15.5			255.5	15.5			116.253
WOA13_1.00deg_1955-2012_Annual	1	26480	1	B	1		1	256.50000	1	15.50000	1	1	0	256.5	15.5			256.5	15.5			117.276
WOA13_1.00deg_1955-2012_Annual	1	26481	1	B	1		1	257.50000	1	15.50000	1	1	0	257.5	15.5			257.5	15.5			109.677
WOA13_1.00deg_1955-2012_Annual	1	26482	1	B	1		1	258.50000	1	15.50000	1	1	0	258.5	15.5			258.5	15.5			107.341
WOA13_1.00deg_1955-2012_Annual	1	26483	1	B	1		1	259.50000	1	15.50000	1	1	0	259.5	15.5			259.5	15.5			106.774
WOA13_1.00deg_1955-2012_Annual	1	26717	1	B	1		1	240.50000	1	16.50000	1	1	0	240.5	16.5			240.5	16.5			197.314
WOA13_1.00deg_1955-2012_Annual	1	26718	1	B	1		1	241.50000	1	16.50000	1	1	0	241.5	16.5			241.5	16.5			191.796
WOA13_1.00deg_1955-2012_Annual	1	26719	1	B	1		1	242.50000	1	16.50000	1	1	0	242.5	16.5			242.5	16.5			186.875
WOA13_1.00deg_1955-2012_Annual	1	26720	1	B	1		1	243.50000	1	16.50000	1	1	0	243.5	16.5			243.5	16.5			180.996
WOA13_1.00deg_1955-2012_Annual	1	26721	1	B	1		1	244.50000	1	16.50000	1	1	0	244.5	16.5			244.5	16.5			179.458
WOA13_1.00deg_1955-2012_Annual	1	26722	1	B	1		1	245.50000	1	16.50000	1	1	0	245.5	16.5			245.5	16.5			175.462
WOA13_1.00deg_1955-2012_Annual	1	26723	1	B	1		1	246.50000	1	16.50000	1	1	0	246.5	16.5			246.5	16.5			167.565
WOA13_1.00deg_1955-2012_Annual	1	26724	1	B	1		1	247.50000	1	16.50000	1	1	0	247.5	16.5			247.5	16.5			155.058
WOA13_1.00deg_1955-2012_Annual	1	26725	1	B	1		1	248.50000	1	16.50000	1	1	0	248.5	16.5			248.5	16.5			144.478
WOA13_1.00deg_1955-2012_Annual	1	26726	1	B	1		1	249.50000	1	16.50000	1	1	0	249.5	16.5			249.5	16.5			134.547
WOA13_1.00deg_1955-2012_Annual	1	26727	1	B	1		1	250.50000	1	16.50000	1	1	0	250.5	16.5			250.5	16.5			134.463
WOA13_1.00deg_1955-2012_Annual	1	26728	1	B	1		1	251.50000	1	16.50000	1	1	0	251.5	16.5			251.5	16.5			131.252
WOA13_1.00deg_1955-2012_Annual	1	26729	1	B	1		1	252.50000	1	16.50000	1	1	0	252.5	16.5			252.5	16.5			133.3
WOA13_1.00deg_1955-2012_Annual	1	26730	1	B	1		1	253.50000	1	16.50000	1	1	0	253.5	16.5			253.5	16.5			124.027
WOA13_1.00deg_1955-2012_Annual	1	26731	1	B	1		1	254.50000	1	16.50000	1	1	0	254.5	16.5			254.5	16.5			115.221
WOA13_1.00deg_1955-2012_Annual	1	26732	1	B	1		1	255.50000	1	16.50000	1	1	0	255.5	16.5			255.5	16.5			109.03
WOA13_1.00deg_1955-2012_Annual	1	26733	1	B	1		1	256.50000	1	16.50000	1	1	0	256.5	16.5			256.5	16.5			106.917
WOA13_1.00deg_1955-2012_Annual	1	26734	1	B	1		1	257.50000	1	16.50000	1	1	0	257.5	16.5			257.5	16.5			100.815
WOA13_1.00deg_1955-2012_Annual	1	26735	1	B	1		1	258.50000	1	16.50000	1	1	0	258.5	16.5			258.5	16.5			88.5887
WOA13_1.00deg_1955-2012_Annual	1	26736	1	B	1		1	259.50000	1	16.50000	1	1	0	259.5	16.5			259.5	16.5			86.497
WOA13_1.00deg_1955-2012_Annual	1	26968	1	B	1		1	240.50000	1	17.50000	1	1	0	240.5	17.5			240.5	17.5			222.183
WOA13_1.00deg_1955-2012_Annual	1	26969	1	B	1		1	241.50000	1	17.50000	1	1	0	241.5	17.5			241.5	17.5			216.046
WOA13_1.00deg_1955-2012_Annual	1	26970	1	B	1		1	242.50000	1	17.50000	1	1	0	242.5	17.5			242.5	17.5			206.881
WOA13_1.00deg_1955-2012_Annual	1	26971	1	B	1		1	243.50000	1	17.50000	1	1	0	243.5	17.5			243.5	17.5			199.292
WOA13_1.00deg_1955-2012_Annual	1	26972	1	B	1		1	244.50000	1	17.50000	1	1	0	244.5	17.5			244.5	17.5			189.715
WOA13_1.00deg_1955-2012_Annual	1	26973	1	B	1		1	245.50000	1	17.50000	1	1	0	245.5	17.5			245.5	17.5			184.561
WOA13_1.00deg_1955-2012_Annual	1	26974	1	B	1		1	246.50000	1	17.50000	1	1	0	246.5	17.5			246.5	17.5			170.283
WOA13_1.00deg_1955-2012_Annual	1	26975	1	B	1		1	247.50000	1	17.50000	1	1	0	247.5	17.5			247.5	17.5			161.422
WOA13_1.00deg_1955-2012_Annual	1	26976	1	B	1		1	248.50000	1	17.50000	1	1	0	248.5	17.5			248.5	17.5			151.167
